backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,1,256,163840,uniform,V1,collapse2,86,0.472053
cpu,1,256,163840,uniform,V1,collapse2,87,0.526063
cpu,1,256,163840,uniform,V1,collapse2,88,0.471463
cpu,1,256,163840,uniform,V1,collapse2,89,0.468743
cpu,1,256,163840,uniform,V1,collapse2,90,0.470053
cpu,1,256,163840,uniform,V1,collapse2,91,0.483473
cpu,1,256,163840,uniform,V1,collapse2,92,0.467583
cpu,1,256,163840,uniform,V1,collapse2,93,0.468523
cpu,1,256,163840,uniform,V1,collapse2,94,0.469183
cpu,1,256,163840,uniform,V1,collapse2,95,0.469653
cpu,1,256,163840,uniform,V1,collapse2,96,0.469824
cpu,1,256,163840,uniform,V1,collapse2,97,0.470873
cpu,1,256,163840,uniform,V1,collapse2,98,0.469033
cpu,1,256,163840,uniform,V1,collapse2,99,0.485413
cpu,2,256,163840,uniform,V2,jk_outer,0,0.343932
cpu,2,256,163840,uniform,V2,jk_outer,1,0.343853
cpu,2,256,163840,uniform,V2,jk_outer,2,0.343393
cpu,2,256,163840,uniform,V2,jk_outer,3,0.402942
cpu,2,256,163840,uniform,V2,jk_outer,4,0.343542
cpu,2,256,163840,uniform,V2,jk_outer,5,0.342032
cpu,2,256,163840,uniform,V2,jk_outer,6,0.342533
cpu,2,256,163840,uniform,V2,jk_outer,7,0.343342
cpu,2,256,163840,uniform,V2,jk_outer,8,0.430073
cpu,2,256,163840,uniform,V2,jk_outer,9,0.344322
cpu,2,256,163840,uniform,V2,jk_outer,10,0.343032
cpu,2,256,163840,uniform,V2,jk_outer,11,0.343132
cpu,2,256,163840,uniform,V2,jk_outer,12,0.389563
cpu,2,256,163840,uniform,V2,jk_outer,13,0.343282
cpu,2,256,163840,uniform,V2,jk_outer,14,0.342812
cpu,2,256,163840,uniform,V2,jk_outer,15,0.380112
cpu,2,256,163840,uniform,V2,jk_outer,16,0.345242
cpu,2,256,163840,uniform,V2,jk_outer,17,0.342322
cpu,2,256,163840,uniform,V2,jk_outer,18,0.346942
cpu,2,256,163840,uniform,V2,jk_outer,19,0.385552
cpu,2,256,163840,uniform,V2,jk_outer,20,0.381293
cpu,2,256,163840,uniform,V2,jk_outer,21,0.382023
cpu,2,256,163840,uniform,V2,jk_outer,22,0.438513
cpu,2,256,163840,uniform,V2,jk_outer,23,0.485683
cpu,2,256,163840,uniform,V2,jk_outer,24,0.465913
cpu,2,256,163840,uniform,V2,jk_outer,25,0.449293
