nlev,variant,blocking,tile_x,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,2,0,0,0,omp_for,gpu_warp32,128,32,2.000000,1.499805,1.673466,2.499414,2.999609,3.346933,0.000000,1.0000,0.0120,1.8000,4,194560
90,2,0,0,0,omp_for,gpu_scalar,128,1,0.062500,0.062500,0.069737,0.062500,0.003906,0.004359,0.000000,1.0000,0.0120,1.8000,4,6225920
90,1,0,0,0,omp_for,gpu_scalar,128,1,0.062500,0.062500,0.069737,0.062500,0.003906,0.004359,0.000000,1.0000,0.0120,1.8000,4,6225920
90,3,0,0,0,omp_for,cpu_avx512,64,8,8.000000,50.613576,80.981720,129.369042,404.908604,647.853762,0.000000,1.0000,0.0120,1.8000,4,778240
90,4,0,0,0,omp_for,cpu_avx512,64,8,8.000000,50.613576,80.981720,129.369042,404.908604,647.853762,0.000000,1.0000,0.0120,1.8000,4,778240
90,0,8,0,0,omp_for,gpu_scalar,128,1,0.125000,5.624463,8.999141,5.624463,0.703058,1.124893,0.003906,1.0000,0.0120,1.8000,4,6225920
90,0,8,0,0,omp_for,cpu_scalar,64,1,0.125000,11.248914,17.998262,11.248914,1.406114,2.249783,0.003906,1.0000,0.0120,1.8000,4,6225920
90,0,16,0,0,omp_for,gpu_scalar,128,1,0.062500,5.623914,8.998262,5.623914,0.351495,0.562391,0.007812,1.0000,0.0120,1.8000,4,6225920
90,0,128,0,0,omp_for,gpu_scalar,128,1,0.062500,5.616309,8.986094,5.616309,0.351019,0.561631,0.062500,1.0000,0.0120,1.8000,4,6225920
90,0,128,0,0,omp_for,cpu_scalar,64,1,0.125000,11.232617,17.972188,11.232617,1.404077,2.246523,0.062500,1.0000,0.0120,1.8000,4,6225920
90,0,32,0,0,omp_for,gpu_scalar,128,1,0.062500,5.622827,8.996523,5.622827,0.351427,0.562283,0.015625,1.0000,0.0120,1.8000,4,6225920
90,0,64,0,0,omp_for,gpu_scalar,128,1,0.062500,5.620654,8.993047,5.620654,0.351291,0.562065,0.031250,1.0000,0.0120,1.8000,4,6225920
90,0,32,0,0,omp_for,cpu_scalar,64,1,0.125000,11.245654,17.993047,11.245654,1.405707,2.249131,0.015625,1.0000,0.0120,1.8000,4,6225920
90,0,64,0,0,omp_for,cpu_scalar,64,1,0.125000,11.241309,17.986094,11.241309,1.405164,2.248262,0.031250,1.0000,0.0120,1.8000,4,6225920
90,0,16,0,0,omp_for,cpu_scalar,64,1,0.125000,11.247827,17.996523,11.247827,1.405978,2.249565,0.007812,1.0000,0.0120,1.8000,4,6225920
90,0,128,0,0,omp_for,cpu_avx512,64,8,1.000000,89.860937,143.777500,89.860937,89.860937,143.777500,0.062500,1.0000,0.0120,1.8000,4,778240
90,0,64,0,0,omp_for,cpu_avx512,64,8,1.000000,89.930469,143.888750,89.930469,89.930469,143.888750,0.031250,1.0000,0.0120,1.8000,4,778240
90,0,64,0,0,omp_for,gpu_warp32,128,32,2.000000,179.360742,286.977187,180.360352,358.721484,573.954375,0.031250,1.0000,0.0120,1.8000,4,194560
90,0,32,0,0,omp_for,gpu_warp32,128,32,2.000000,179.430273,287.088437,180.429883,358.860547,574.176875,0.015625,1.0000,0.0120,1.8000,4,194560
90,0,32,0,0,omp_for,cpu_avx512,64,8,1.000000,89.965234,143.944375,89.965234,89.965234,143.944375,0.015625,1.0000,0.0120,1.8000,4,778240
90,0,128,0,0,omp_for,gpu_warp32,128,32,2.000000,179.221680,286.754687,180.221289,358.443359,573.509375,0.062500,1.0000,0.0120,1.8000,4,194560
90,0,8,0,0,omp_for,gpu_warp32,128,32,4.000000,112.456445,179.930312,247.403711,449.825781,719.721250,0.003906,1.0000,0.0120,1.8000,4,194560
90,0,8,0,0,omp_for,cpu_avx512,64,8,1.000000,89.991309,143.986094,89.991309,89.991309,143.986094,0.003906,1.0000,0.0120,1.8000,4,778240
90,0,16,0,0,omp_for,cpu_avx512,64,8,1.000000,89.982617,143.972188,89.982617,89.982617,143.972188,0.007812,1.0000,0.0120,1.8000,4,778240
90,0,16,0,0,omp_for,gpu_warp32,128,32,2.000000,134.947656,215.916250,224.912500,269.895312,431.832500,0.007812,1.0000,0.0120,1.8000,4,194560
