nlev,variant,cell_dist,schedule,target,block_bytes,vector_width,mu,mu_delta,mu_delta_numa,delta_max,delta_min,beta,alpha,gamma,P_NUMA,T
90,2,normal_var4,omp_for,cpu_scalar,64,1,3.267627,4257.633017,4258.366124,3872.992930,1757.751080,1,0.0120,1.8000,4,7372800
90,2,normal_var4,omp_for,cpu_avx512,64,8,24.966016,5090.361870,5096.226722,4539.793184,204.149306,1,0.0120,1.8000,4,921600
90,2,normal_var4,omp_for,gpu_scalar,128,1,2.632434,2128.666676,2129.033194,2141.940088,971.936096,1,0.0120,1.8000,4,7372800
90,2,normal_var4,omp_for,gpu_warp32,128,32,80.856641,2647.057703,2667.510289,2926.202999,32.943343,1,0.0120,1.8000,4,230400
90,2,normal_var4,omp_for,gpu_wave64,128,64,159.387500,2947.923882,3023.697986,2945.493744,18.905491,1,0.0120,1.8000,4,115200
90,2,sequential,omp_for,cpu_scalar,64,1,3.124744,4273.787845,4274.520951,4028.743289,1834.908031,1,0.0120,1.8000,4,7372800
90,2,sequential,omp_for,cpu_avx512,64,8,24.969531,5109.294885,5115.159737,4539.568905,204.819283,1,0.0120,1.8000,4,921600
90,2,sequential,omp_for,gpu_scalar,128,1,2.561829,2136.758025,2137.124542,2180.117378,992.695118,1,0.0120,1.8000,4,7372800
90,2,sequential,omp_for,gpu_warp32,128,32,80.851172,2665.580348,2686.032933,2925.849078,33.191899,1,0.0120,1.8000,4,230400
90,2,sequential,omp_for,gpu_wave64,128,64,159.399219,2931.825880,3007.599984,2945.927961,18.804369,1,0.0120,1.8000,4,115200
90,2,uniform,omp_collapse2,cpu_scalar,64,1,4.998914,8537.526479,8614.070182,4299.736473,1973.254782,1,0.0120,1.8000,4,7372800
90,2,uniform,omp_collapse2,cpu_avx512,64,8,39.927930,10203.573991,10299.963217,5671.886602,257.974281,1,0.0120,1.8000,4,921600
90,2,uniform,omp_collapse2,gpu_scalar,128,1,4.497852,4268.457254,4306.725998,2248.405007,1032.262624,1,0.0120,1.8000,4,7372800
90,2,uniform,omp_collapse2,gpu_warp32,128,32,141.650417,5240.927031,5308.565417,3337.901868,37.481120,1,0.0120,1.8000,4,230400
90,2,uniform,omp_collapse2,gpu_wave64,128,64,278.660295,5693.908229,5822.278604,3366.370721,20.860892,1,0.0120,1.8000,4,115200
90,2,normal_var1,omp_collapse2,cpu_scalar,64,1,3.169593,4260.249585,4298.898156,4020.117142,1839.473752,1,0.0120,1.8000,4,7372800
90,2,normal_var1,omp_collapse2,cpu_avx512,64,8,24.962016,5102.110438,5153.426953,4538.793919,206.496213,1,0.0120,1.8000,4,921600
90,2,normal_var1,omp_collapse2,gpu_scalar,128,1,2.584815,2130.046743,2149.369633,2179.311391,997.321063,1,0.0120,1.8000,4,7372800
90,2,normal_var1,omp_collapse2,gpu_warp32,128,32,80.873455,2657.612135,2701.768104,2926.180395,33.362337,1,0.0120,1.8000,4,230400
90,2,normal_var1,omp_collapse2,gpu_wave64,128,64,159.539896,2945.118333,3047.983611,2946.811953,19.010343,1,0.0120,1.8000,4,115200
90,2,normal_var4,omp_collapse2,cpu_scalar,64,1,3.267627,4257.654868,4296.207640,3872.995303,1773.360424,1,0.0120,1.8000,4,7372800
90,2,normal_var4,omp_collapse2,cpu_avx512,64,8,24.966020,5090.646580,5141.705016,4539.808484,205.970137,1,0.0120,1.8000,4,921600
90,2,normal_var4,omp_collapse2,gpu_scalar,128,1,2.632434,2128.677601,2147.952545,2141.941274,980.573982,1,0.0120,1.8000,4,7372800
90,2,normal_var4,omp_collapse2,gpu_warp32,128,32,80.856658,2648.975156,2693.463215,2926.235733,33.262868,1,0.0120,1.8000,4,230400
90,2,normal_var4,omp_collapse2,gpu_wave64,128,64,159.387569,2955.334618,3058.108076,2945.558552,19.119269,1,0.0120,1.8000,4,115200
90,2,sequential,omp_collapse2,cpu_scalar,64,1,3.124744,4273.809390,4312.519459,4028.745181,1851.199352,1,0.0120,1.8000,4,7372800
90,2,sequential,omp_collapse2,cpu_avx512,64,8,24.969533,5109.604818,5160.922442,4539.585266,206.651144,1,0.0120,1.8000,4,921600
90,2,sequential,omp_collapse2,gpu_scalar,128,1,2.561829,2136.768796,2156.123297,2180.118324,1001.515671,1,0.0120,1.8000,4,7372800
90,2,sequential,omp_collapse2,gpu_warp32,128,32,80.851189,2667.533359,2711.855439,2925.882904,33.510293,1,0.0120,1.8000,4,230400
90,2,sequential,omp_collapse2,gpu_wave64,128,64,159.399340,2939.246354,3041.680160,2945.992852,19.016138,1,0.0120,1.8000,4,115200
90,3,uniform,omp_for,cpu_scalar,64,1,0.915274,8536.482541,13652.472736,89058.504619,2950.010658,1,0.0120,1.8000,4,7372800
90,3,uniform,omp_for,cpu_avx512,64,8,7.397657,122204.177269,195426.888384,183773.873668,17572.180667,1,0.0120,1.8000,4,901120
90,3,uniform,omp_for,gpu_scalar,128,1,0.479835,4268.241310,6826.236415,30418.664143,1590.626795,1,0.0120,1.8000,4,7372800
90,3,uniform,omp_for,gpu_warp32,128,32,17.218909,552134.794202,883012.470388,103412.530671,43289.292191,1,0.0120,1.8000,4,163840
90,3,uniform,omp_for,gpu_wave64,128,64,34.437622,1872457.495190,2994602.233423,119646.823034,87021.634269,1,0.0120,1.8000,4,81920
90,3,normal_var1,omp_for,cpu_scalar,64,1,0.895210,4259.234472,6811.494895,45064.581752,1779.300860,1,0.0120,1.8000,4,7372800
90,3,normal_var1,omp_for,cpu_avx512,64,8,7.251012,61017.355101,97589.244647,94183.932291,9246.315216,1,0.0120,1.8000,4,901120
90,3,normal_var1,omp_for,gpu_scalar,128,1,0.465594,2129.616964,3405.747159,15768.756111,996.410333,1,0.0120,1.8000,4,7372800
90,3,normal_var1,omp_for,gpu_warp32,128,32,16.693811,275530.210596,440626.613623,53535.972298,22573.712955,1,0.0120,1.8000,4,163840
90,3,normal_var1,omp_for,gpu_wave64,128,64,31.019751,934306.687549,1494178.039033,67184.253814,48696.978727,1,0.0120,1.8000,4,81920
90,3,normal_var4,omp_for,cpu_scalar,64,1,0.896909,4256.612432,6812.486655,45038.676700,1690.478906,1,0.0120,1.8000,4,7372800
90,3,normal_var4,omp_for,cpu_avx512,64,8,7.259949,60956.878822,97580.344977,93880.054001,9153.601204,1,0.0120,1.8000,4,901120
90,3,normal_var4,omp_for,gpu_scalar,128,1,0.467655,2128.306035,3406.243127,15525.518933,933.412252,1,0.0120,1.8000,4,7372800
90,3,normal_var4,omp_for,gpu_warp32,128,32,16.766290,275359.609393,440734.124256,53225.692977,22413.351762,1,0.0120,1.8000,4,163840
90,3,normal_var4,omp_for,gpu_wave64,128,64,31.859924,933726.851807,1494479.645752,65254.647308,47370.054668,1,0.0120,1.8000,4,81920
90,3,sequential,omp_for,cpu_scalar,64,1,0.773611,4272.560731,6833.141075,49315.406500,2539.431215,1,0.0120,1.8000,4,7372800
90,3,sequential,omp_for,cpu_avx512,64,8,6.284090,61177.054482,97843.118135,108181.645028,11123.636858,1,0.0120,1.8000,4,901120
90,3,sequential,omp_for,gpu_scalar,128,1,0.397917,2136.280380,3416.570570,16935.780978,1489.292831,1,0.0120,1.8000,4,7372800
90,3,sequential,omp_for,gpu_warp32,128,32,14.781244,276384.432837,442067.470107,60198.385579,25219.504123,1,0.0120,1.8000,4,163840
90,3,sequential,omp_for,gpu_wave64,128,64,29.562390,937241.224573,1499034.720911,69715.302229,50738.534368,1,0.0120,1.8000,4,81920
90,3,uniform,omp_collapse2,cpu_scalar,64,1,7.624927,768308.431004,864771.018641,229294.292629,117340.150118,1,0.0120,1.8000,4,7372800
90,3,uniform,omp_collapse2,cpu_avx512,64,8,60.992969,919665.821480,1035052.692259,335399.930719,16985.930853,1,0.0120,1.8000,4,921600
90,3,uniform,omp_collapse2,gpu_scalar,128,1,7.312427,384154.215371,486818.048075,117662.735146,67810.617116,1,0.0120,1.8000,4,7372800
90,3,uniform,omp_collapse2,gpu_warp32,128,32,233.891797,485703.595942,615256.150164,185307.213861,2630.479435,1,0.0120,1.8000,4,230400
90,3,uniform,omp_collapse2,gpu_wave64,128,64,467.560156,564882.543064,715130.155883,187293.908647,1529.330318,1,0.0120,1.8000,4,115200
