nlev,variant,blocking,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,2,0,normal_var4,omp_for,cpu_avx512,64,8,24.966016,203.922995,204.149307,4539.793184,5091.144688,5096.794779,0.000000,1,0.0120,1.8000,4,921600
90,2,0,uniform,omp_collapse2,gpu_warp32,128,32,141.650417,37.003191,37.481124,3337.901868,5241.517493,5309.216813,0.000000,1,0.0120,1.8000,4,230400
90,3,0,exact,omp_for,gpu_warp32,128,32,16.573547,164.210012,221.412473,1055.908734,2721.473259,3669.590882,0.000000,1,0.0120,1.8000,4,245760
90,3,0,normal_var4,omp_collapse2,cpu_avx512,64,8,52.070545,8855.485681,9966.608584,196918.280059,461109.963083,518966.737900,0.000000,1,0.0120,1.8000,4,921600
90,4,0,uniform,omp_for,gpu_scalar,128,1,0.479835,993.945106,1589.597015,30416.958978,476.929212,762.745979,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,sequential,omp_for,gpu_scalar,128,1,0.397917,930.689685,1488.460478,16934.282372,370.337111,592.284518,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,sequential,omp_collapse2,cpu_scalar,64,1,6.624976,60456.669708,68048.834040,132804.449654,400523.960825,450821.864168,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,sequential,omp_for,cpu_scalar,64,1,3.124744,1837.001118,1837.059091,4140.226889,5740.157582,5740.338735,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,normal_var1,omp_collapse2,cpu_scalar,64,1,3.169593,1825.238827,1841.505873,4128.739243,5785.263398,5836.823304,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,uniform,omp_for,cpu_scalar,64,1,4.998914,1955.806337,1955.867432,4299.734797,9776.906849,9777.212257,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,sequential,omp_for,gpu_warp32,128,32,80.851172,32.942582,33.191900,2925.849078,2663.446352,2683.604040,0.000000,1,0.0120,1.8000,4,230400
90,2,0,sequential,omp_collapse2,cpu_scalar,64,1,3.124744,1834.839930,1851.199352,4028.745181,5733.404922,5784.523928,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,normal_var1,omp_for,gpu_warp32,128,32,16.693811,14114.911760,22573.712960,53535.972298,235631.634130,376841.219691,0.000000,1,0.0120,1.8000,4,163840
