backend,variant,nlev,N_e,N_c,N_v,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,8,0.208400
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,9,0.209521
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,10,0.209560
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,11,0.209482
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,12,0.210160
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,13,0.209641
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,14,0.210240
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,15,0.211802
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,16,0.209520
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,17,0.209721
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,18,0.212680
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,19,0.211401
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,20,0.211360
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,21,0.210881
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,22,0.210280
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,23,0.210441
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,24,0.213760
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,25,0.212602
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,26,0.211840
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,27,0.210481
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,28,0.209200
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,29,0.210321
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,30,0.209640
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,31,0.210561
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,32,0.211360
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,33,0.210561
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,34,0.211040
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,35,0.214441
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,36,0.212680
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,37,0.209361
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,38,0.211080
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,39,0.210481
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,40,0.209560
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,41,0.210201
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,42,0.211760
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,43,0.210841
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,44,0.209160
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,45,0.210242
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,46,0.210760
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,47,0.210202
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,48,0.210440
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,49,0.212722
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,50,0.211320
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,51,0.210201
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,52,0.210560
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,53,0.211122
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,54,0.211400
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,55,0.210002
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,56,0.209840
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,57,0.210321
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,58,0.209560
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,59,0.210122
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,60,0.211680
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,61,0.211201
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,62,0.209640
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,63,0.220362
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,64,0.210720
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,65,0.210841
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,66,0.210080
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,67,0.212482
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,68,0.213040
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,69,0.210921
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,70,0.209520
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,71,0.209281
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,72,0.210200
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,73,0.211121
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,74,0.210440
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,75,0.212042
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,76,0.209800
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,77,0.211162
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,78,0.210320
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,79,0.212841
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,80,0.210760
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,81,0.209922
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,82,0.210320
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,83,0.211121
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,84,0.212680
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,85,0.208601
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,86,0.211400
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,87,0.211001
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,88,0.210200
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,89,0.209402
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,90,0.209520
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,91,0.211001
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,92,0.212640
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,93,0.211041
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,94,0.211160
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,95,0.210681
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,96,0.211280
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,97,0.212202
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,98,0.211920
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,99,0.210641
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,0,0.283721
