variant,M,N,tile,nthreads,rep,time_s,bw_gbs,checksum,status
row_major,16384,16384,0,96,40,0.145553718,59.016,2.681670e+09,PASS
row_major,16384,16384,0,96,41,0.145371807,59.089,2.681670e+09,PASS
row_major,16384,16384,0,96,42,0.145621629,58.988,2.681670e+09,PASS
row_major,16384,16384,0,96,43,0.145072035,59.212,2.681670e+09,PASS
row_major,16384,16384,0,96,44,0.145005665,59.239,2.681670e+09,PASS
row_major,16384,16384,0,96,45,0.145166316,59.173,2.681670e+09,PASS
row_major,16384,16384,0,96,46,0.145111066,59.196,2.681670e+09,PASS
row_major,16384,16384,0,96,47,0.145206996,59.156,2.681670e+09,PASS
row_major,16384,16384,0,96,48,0.144417660,59.480,2.681670e+09,PASS
row_major,16384,16384,0,96,49,0.144667713,59.377,2.681670e+09,PASS
row_major,16384,16384,0,96,50,0.145589649,59.001,2.681670e+09,PASS
row_major,16384,16384,0,96,51,0.145380567,59.086,2.681670e+09,PASS
row_major,16384,16384,0,96,52,0.145314628,59.113,2.681670e+09,PASS
row_major,16384,16384,0,96,53,0.145692670,58.959,2.681670e+09,PASS
row_major,16384,16384,0,96,54,0.144764223,59.337,2.681670e+09,PASS
row_major,16384,16384,0,96,55,0.145547087,59.018,2.681670e+09,PASS
row_major,16384,16384,0,96,56,0.145436158,59.063,2.681670e+09,PASS
row_major,16384,16384,0,96,57,0.144795724,59.325,2.681670e+09,PASS
row_major,16384,16384,0,96,58,0.145229327,59.147,2.681670e+09,PASS
row_major,16384,16384,0,96,59,0.145097325,59.201,2.681670e+09,PASS
row_major,16384,16384,0,96,60,0.144415871,59.481,2.681670e+09,PASS
row_major,16384,16384,0,96,61,0.145422828,59.069,2.681670e+09,PASS
row_major,16384,16384,0,96,62,0.145290655,59.122,2.681670e+09,PASS
row_major,16384,16384,0,96,63,0.145423858,59.068,2.681670e+09,PASS
row_major,16384,16384,0,96,64,0.145152446,59.179,2.681670e+09,PASS
row_major,16384,16384,0,96,65,0.145194797,59.161,2.681670e+09,PASS
row_major,16384,16384,0,96,66,0.144968575,59.254,2.681670e+09,PASS
row_major,16384,16384,0,96,67,0.144581342,59.412,2.681670e+09,PASS
row_major,16384,16384,0,96,68,0.145398108,59.079,2.681670e+09,PASS
row_major,16384,16384,0,96,69,0.145262865,59.134,2.681670e+09,PASS
row_major,16384,16384,0,96,70,0.144884975,59.288,2.681670e+09,PASS
row_major,16384,16384,0,96,71,0.145187126,59.165,2.681670e+09,PASS
row_major,16384,16384,0,96,72,0.145225446,59.149,2.681670e+09,PASS
row_major,16384,16384,0,96,73,0.145398858,59.078,2.681670e+09,PASS
