nlev,variant,blocking,tile_y,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,3,0,0,uniform,omp_collapse2,cpu_scalar,64,1,7.624927,104250.971126,88707.571073,229294.292629,794906.019268,676388.732292,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,sequential,omp_for,cpu_avx512,64,8,6.284090,6954.393032,2003.415987,108181.645028,43702.038177,12589.723842,0.000000,0.6000,0.4000,0.0500,4,901120
90,3,0,0,normal_var1,omp_for,gpu_scalar,128,1,0.465594,623.095158,179.783386,15768.756111,290.108921,83.706702,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,exact,omp_collapse2,gpu_warp32,128,32,20.005231,8.709015,7.566467,40.813235,174.225860,151.368863,0.000000,0.6000,0.4000,0.0500,4,345600
90,4,0,0,sequential,omp_collapse2,gpu_warp32,128,32,201.962565,1288.102202,880.442805,107493.064860,260148.424906,177816.487382,0.000000,0.6000,0.4000,0.0500,4,230400
90,4,0,0,sequential,omp_collapse2,cpu_avx512,64,8,52.998340,8713.968401,7414.915801,192924.903416,461825.858719,392978.227530,0.000000,0.6000,0.4000,0.0500,4,921600
90,3,0,0,normal_var1,omp_for,cpu_avx512,64,8,7.251012,5782.498915,1669.217058,94183.932291,41928.952707,12103.534204,0.000000,0.6000,0.4000,0.0500,4,901120
90,3,0,0,exact,omp_collapse2,cpu_avx512,64,8,40.891547,484.886884,411.473644,5182.342522,19827.774551,16825.792618,0.000000,0.6000,0.4000,0.0500,4,1382400
90,3,0,0,exact,omp_collapse2,gpu_warp32,128,32,146.230312,375.454625,257.531869,4564.241211,54902.847038,37658.965355,0.000000,0.6000,0.4000,0.0500,4,345600
90,4,0,0,exact,omp_for,gpu_warp32,128,32,16.573547,164.245053,96.311539,1045.624614,2722.053940,1596.071550,0.000000,0.6000,0.4000,0.0500,4,245760
90,4,0,0,exact,omp_for,cpu_avx512,64,8,7.315813,70.879592,41.561788,1935.968438,518.552133,304.068664,0.000000,0.6000,0.4000,0.0500,4,1351680
90,4,0,0,sequential,omp_for,gpu_warp32,128,32,14.781244,15759.826141,4541.573647,60171.782485,232949.823584,67129.796713,0.000000,0.6000,0.4000,0.0500,4,163840
90,4,0,0,exact,omp_for,gpu_scalar,128,1,0.464488,10.186586,6.034381,325.711324,4.731478,2.802844,0.000000,0.6000,0.4000,0.0500,4,11059200
90,4,0,0,uniform,omp_for,gpu_warp32,128,32,17.218909,27056.779173,7804.333735,103377.234286,465888.320407,134383.102517,0.000000,0.6000,0.4000,0.0500,4,163840
90,4,0,0,uniform,omp_for,cpu_avx512,64,8,7.397657,10969.001069,3164.542707,183725.619850,81144.916610,23410.335744,0.000000,0.6000,0.4000,0.0500,4,901120
90,1,0,0,normal_var4,omp_for,gpu_warp32,128,32,80.856641,32.602736,32.374824,3052.679242,2636.147731,2617.719497,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,normal_var4,omp_for,cpu_avx512,64,8,24.966016,205.202007,204.969118,4949.007859,5123.076510,5117.262214,0.000000,0.6000,0.4000,0.0500,4,921600
90,1,0,0,normal_var4,omp_for,gpu_scalar,128,1,2.632434,972.403141,972.370370,2168.927686,2559.787170,2559.700902,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,normal_var4,omp_collapse2,gpu_warp32,128,32,80.856658,32.623966,32.044866,3052.710362,2637.864895,2591.040770,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,normal_var4,omp_collapse2,cpu_avx512,64,8,24.966020,205.211030,202.813807,4949.021275,5123.302680,5063.453554,0.000000,0.6000,0.4000,0.0500,4,921600
90,2,0,0,exact,omp_for,cpu_avx512,64,8,10.509440,13.401787,12.811092,48.381338,140.845274,134.637404,0.000000,0.6000,0.4000,0.0500,4,1382400
90,1,0,0,normal_var4,omp_collapse2,gpu_scalar,128,1,2.632434,972.403816,962.109980,2168.928574,2559.789211,2532.691364,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,normal_var1,omp_collapse2,gpu_warp32,128,32,80.873455,32.727621,32.153484,3052.631166,2646.795782,2600.363316,0.000000,0.6000,0.4000,0.0500,4,230400
