variant,tblock,coarsen,rep,time_ms
gpu_shared_bec_aos,32,1,90,0.006840
gpu_shared_bec_aos,32,1,91,0.006640
gpu_shared_bec_aos,32,1,92,0.006000
gpu_shared_bec_aos,32,1,93,0.005640
gpu_shared_bec_aos,32,1,94,0.006600
gpu_shared_bec_aos,32,1,95,0.004280
gpu_shared_bec_aos,32,1,96,0.006160
gpu_shared_bec_aos,32,1,97,0.004400
gpu_shared_bec_aos,32,1,98,0.007200
gpu_shared_bec_aos,32,1,99,0.006520
gpu_shared_bec_aos_u,32,1,0,0.004160
gpu_shared_bec_aos_u,32,1,1,0.003960
gpu_shared_bec_aos_u,32,1,2,0.004240
gpu_shared_bec_aos_u,32,1,3,0.005360
gpu_shared_bec_aos_u,32,1,4,0.003440
gpu_shared_bec_aos_u,32,1,5,0.003720
gpu_shared_bec_aos_u,32,1,6,0.003640
gpu_shared_bec_aos_u,32,1,7,0.003960
gpu_shared_bec_aos_u,32,1,8,0.003880
gpu_shared_bec_aos_u,32,1,9,0.003840
gpu_shared_bec_aos_u,32,1,10,0.003680
gpu_shared_bec_aos_u,32,1,11,0.003760
gpu_shared_bec_aos_u,32,1,12,0.003560
gpu_shared_bec_aos_u,32,1,13,0.006600
gpu_shared_bec_aos_u,32,1,14,0.003800
gpu_shared_bec_aos_u,32,1,15,0.004560
gpu_shared_bec_aos_u,32,1,16,0.004320
gpu_shared_bec_aos_u,32,1,17,0.005040
gpu_shared_bec_aos_u,32,1,18,0.005040
gpu_shared_bec_aos_u,32,1,19,0.004600
gpu_shared_bec_aos_u,32,1,20,0.004920
gpu_shared_bec_aos_u,32,1,21,0.003920
gpu_shared_bec_aos_u,32,1,22,0.004160
gpu_shared_bec_aos_u,32,1,23,0.004640
gpu_shared_bec_aos_u,32,1,24,0.004120
gpu_shared_bec_aos_u,32,1,25,0.004240
gpu_shared_bec_aos_u,32,1,26,0.004240
gpu_shared_bec_aos_u,32,1,27,0.004360
gpu_shared_bec_aos_u,32,1,28,0.004360
gpu_shared_bec_aos_u,32,1,29,0.004960
gpu_shared_bec_aos_u,32,1,30,0.005520
gpu_shared_bec_aos_u,32,1,31,0.005160
gpu_shared_bec_aos_u,32,1,32,0.005400
gpu_shared_bec_aos_u,32,1,33,0.004840
gpu_shared_bec_aos_u,32,1,34,0.005200
gpu_shared_bec_aos_u,32,1,35,0.004920
gpu_shared_bec_aos_u,32,1,36,0.004480
gpu_shared_bec_aos_u,32,1,37,0.005240
gpu_shared_bec_aos_u,32,1,38,0.004160
gpu_shared_bec_aos_u,32,1,39,0.004120
gpu_shared_bec_aos_u,32,1,40,0.004200
gpu_shared_bec_aos_u,32,1,41,0.004400
gpu_shared_bec_aos_u,32,1,42,0.006680
gpu_shared_bec_aos_u,32,1,43,0.006200
gpu_shared_bec_aos_u,32,1,44,0.006280
gpu_shared_bec_aos_u,32,1,45,0.004960
gpu_shared_bec_aos_u,32,1,46,0.004520
gpu_shared_bec_aos_u,32,1,47,0.004240
gpu_shared_bec_aos_u,32,1,48,0.004760
gpu_shared_bec_aos_u,32,1,49,0.003840
gpu_shared_bec_aos_u,32,1,50,0.005760
gpu_shared_bec_aos_u,32,1,51,0.005120
gpu_shared_bec_aos_u,32,1,52,0.003960
gpu_shared_bec_aos_u,32,1,53,0.005840
gpu_shared_bec_aos_u,32,1,54,0.005480
gpu_shared_bec_aos_u,32,1,55,0.003680
gpu_shared_bec_aos_u,32,1,56,0.004200
gpu_shared_bec_aos_u,32,1,57,0.003960
gpu_shared_bec_aos_u,32,1,58,0.006560
gpu_shared_bec_aos_u,32,1,59,0.004800
gpu_shared_bec_aos_u,32,1,60,0.003880
gpu_shared_bec_aos_u,32,1,61,0.005040
gpu_shared_bec_aos_u,32,1,62,0.006240
gpu_shared_bec_aos_u,32,1,63,0.005040
gpu_shared_bec_aos_u,32,1,64,0.004880
gpu_shared_bec_aos_u,32,1,65,0.005320
gpu_shared_bec_aos_u,32,1,66,0.006240
gpu_shared_bec_aos_u,32,1,67,0.004880
gpu_shared_bec_aos_u,32,1,68,0.004680
gpu_shared_bec_aos_u,32,1,69,0.004960
gpu_shared_bec_aos_u,32,1,70,0.006440
gpu_shared_bec_aos_u,32,1,71,0.004960
gpu_shared_bec_aos_u,32,1,72,0.003640
