id,cv,cv_IC,ch,ch_IC,f,f_IC,s,s_IC,n,n_IN,lm,lm_IC
56,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V6,v_first
57,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V1,h_first
58,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V2,h_first
59,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V6,v_first
60,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V1,h_first
61,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V2,h_first
62,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V6,v_first
63,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V1,h_first
64,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V2,h_first
65,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V6,v_first
66,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V2,AoS,V1,h_first
67,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V2,AoS,V2,h_first
68,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V2,AoS,V6,v_first
69,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V6,AoS,V1,h_first
70,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V6,AoS,V2,h_first
71,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V6,AoS,V6,v_first
72,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V1,SoA,V1,h_first
73,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V1,SoA,V2,h_first
74,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V1,SoA,V6,v_first
75,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V2,AoS,V1,h_first
76,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V2,AoS,V2,h_first
77,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V2,AoS,V6,v_first
78,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V6,AoS,V1,h_first
79,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V6,AoS,V2,h_first
80,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V6,AoS,V6,v_first
81,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V1,SoA,V1,h_first
82,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V1,SoA,V2,h_first
83,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V1,SoA,V6,v_first
84,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V2,AoS,V1,h_first
85,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V2,AoS,V2,h_first
86,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V2,AoS,V6,v_first
87,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V6,AoS,V1,h_first
88,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V6,AoS,V2,h_first
89,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V6,AoS,V6,v_first
90,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V1,SoA,V1,h_first
91,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V1,SoA,V2,h_first
92,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V1,SoA,V6,v_first
93,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V2,AoS,V1,h_first
94,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V2,AoS,V2,h_first
95,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V2,AoS,V6,v_first
96,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V6,AoS,V1,h_first
97,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V6,AoS,V2,h_first
98,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V6,AoS,V6,v_first
99,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V1,SoA,V1,h_first
100,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V1,SoA,V2,h_first
101,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V1,SoA,V6,v_first
102,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V2,AoS,V1,h_first
103,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V2,AoS,V2,h_first
104,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V2,AoS,V6,v_first
105,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V6,AoS,V1,h_first
106,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V6,AoS,V2,h_first
107,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V6,AoS,V6,v_first
