id,cv,cv_IC,ch,ch_IC,f,f_IC,s,s_IC,n,n_IN,lm,lm_IC,n_groups_with_evidence
71,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V6,AoS,V6,v_first,4
72,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V1,SoA,V1,h_first,4
73,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V1,SoA,V2,h_first,4
74,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V1,SoA,V6,v_first,4
75,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V2,AoS,V1,h_first,4
76,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V2,AoS,V2,h_first,4
77,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V2,AoS,V6,v_first,4
78,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V6,AoS,V1,h_first,4
79,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V6,AoS,V2,h_first,4
80,V1,h_first,V1,h_first,V6,v_first,V6,v_first,V6,AoS,V6,v_first,4
81,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V1,SoA,V1,h_first,3
82,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V1,SoA,V2,h_first,3
83,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V1,SoA,V6,v_first,3
84,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V2,AoS,V1,h_first,3
85,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V2,AoS,V2,h_first,3
86,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V2,AoS,V6,v_first,3
87,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V6,AoS,V1,h_first,3
88,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V6,AoS,V2,h_first,3
89,V1,h_first,V2,h_first,V1,h_first,V1,h_first,V6,AoS,V6,v_first,3
90,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V1,SoA,V1,h_first,3
91,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V1,SoA,V2,h_first,3
92,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V1,SoA,V6,v_first,3
93,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V2,AoS,V1,h_first,3
94,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V2,AoS,V2,h_first,3
95,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V2,AoS,V6,v_first,3
96,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V6,AoS,V1,h_first,3
97,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V6,AoS,V2,h_first,3
98,V1,h_first,V2,h_first,V1,h_first,V2,h_first,V6,AoS,V6,v_first,3
99,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V1,SoA,V1,h_first,3
100,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V1,SoA,V2,h_first,3
101,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V1,SoA,V6,v_first,3
102,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V2,AoS,V1,h_first,3
103,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V2,AoS,V2,h_first,3
104,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V2,AoS,V6,v_first,3
105,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V6,AoS,V1,h_first,3
106,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V6,AoS,V2,h_first,3
107,V1,h_first,V2,h_first,V1,h_first,V6,v_first,V6,AoS,V6,v_first,3
108,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V1,SoA,V1,h_first,3
109,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V1,SoA,V2,h_first,3
110,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V1,SoA,V6,v_first,3
111,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V2,AoS,V1,h_first,3
112,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V2,AoS,V2,h_first,3
113,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V2,AoS,V6,v_first,3
114,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V6,AoS,V1,h_first,3
115,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V6,AoS,V2,h_first,3
116,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V6,AoS,V6,v_first,3
117,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V1,SoA,V1,h_first,3
118,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V1,SoA,V2,h_first,3
119,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V1,SoA,V6,v_first,3
120,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V2,AoS,V1,h_first,3
121,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V2,AoS,V2,h_first,3
122,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V2,AoS,V6,v_first,3
123,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V6,AoS,V1,h_first,3
124,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V6,AoS,V2,h_first,3
125,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V6,AoS,V6,v_first,3
126,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V1,SoA,V1,h_first,3
127,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V1,SoA,V2,h_first,3
128,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V1,SoA,V6,v_first,3
129,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V2,AoS,V1,h_first,3
130,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V2,AoS,V2,h_first,3
131,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V2,AoS,V6,v_first,3
132,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V6,AoS,V1,h_first,3
133,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V6,AoS,V2,h_first,3
134,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V6,AoS,V6,v_first,3
135,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V1,SoA,V1,h_first,3
136,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V1,SoA,V2,h_first,3
137,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V1,SoA,V6,v_first,3
138,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V2,AoS,V1,h_first,3
139,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V2,AoS,V2,h_first,3
140,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V2,AoS,V6,v_first,3
141,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V6,AoS,V1,h_first,3
142,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V6,AoS,V2,h_first,3
143,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V6,AoS,V6,v_first,3
144,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V1,SoA,V1,h_first,3
145,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V1,SoA,V2,h_first,3
146,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V1,SoA,V6,v_first,3
147,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V2,AoS,V1,h_first,3
148,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V2,AoS,V2,h_first,3
149,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V2,AoS,V6,v_first,3
150,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V6,AoS,V1,h_first,3
151,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V6,AoS,V2,h_first,3
152,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V6,AoS,V6,v_first,3
153,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V1,SoA,V1,h_first,3
154,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V1,SoA,V2,h_first,3
155,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V1,SoA,V6,v_first,3
156,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V2,AoS,V1,h_first,3
157,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V2,AoS,V2,h_first,3
158,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V2,AoS,V6,v_first,3
159,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V6,AoS,V1,h_first,3
160,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V6,AoS,V2,h_first,3
161,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V6,AoS,V6,v_first,3
162,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V1,SoA,V1,h_first,3
163,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V1,SoA,V2,h_first,3
164,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V1,SoA,V6,v_first,3
165,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V2,AoS,V1,h_first,3
166,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V2,AoS,V2,h_first,3
167,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V2,AoS,V6,v_first,3
168,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V6,AoS,V1,h_first,3
169,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V6,AoS,V2,h_first,3
170,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V6,AoS,V6,v_first,3
171,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V1,SoA,V1,h_first,3
172,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V1,SoA,V2,h_first,3
173,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V1,SoA,V6,v_first,3
174,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V2,AoS,V1,h_first,3
175,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V2,AoS,V2,h_first,3
176,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V2,AoS,V6,v_first,3
177,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V6,AoS,V1,h_first,3
178,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V6,AoS,V2,h_first,3
179,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V6,AoS,V6,v_first,3
180,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V1,SoA,V1,h_first,3
181,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V1,SoA,V2,h_first,3
182,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V1,SoA,V6,v_first,3
183,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V2,AoS,V1,h_first,3
184,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V2,AoS,V2,h_first,3
185,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V2,AoS,V6,v_first,3
186,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V6,AoS,V1,h_first,3
187,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V6,AoS,V2,h_first,3
188,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V6,AoS,V6,v_first,3
189,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V1,SoA,V1,h_first,3
190,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V1,SoA,V2,h_first,3
191,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V1,SoA,V6,v_first,3
192,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V2,AoS,V1,h_first,3
193,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V2,AoS,V2,h_first,3
194,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V2,AoS,V6,v_first,3
195,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V6,AoS,V1,h_first,3
196,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V6,AoS,V2,h_first,3
197,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V6,AoS,V6,v_first,3
198,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V1,SoA,V1,h_first,3
